camel,cat,chimpanzee,cow,dog,donkey,fox,giraffe,goat,gorilla,horse,lion,mouse,pig,rabbit,rat,sheep,tiger,wolf,zebra
0.0,0.5312077369186166,0.6289497435319977,0.4687116494715229,0.5848003290639575,0.5746558097771897,0.5602709119784041,0.5807301519129492,0.5737533173558725,0.6076398208691397,0.5871737899301845,0.478201203433241,0.5815357538645063,0.5494026757851054,0.4986690832265127,0.5699154006261179,0.5839019768649487,0.5913811812097615,0.5328762643329974,0.5736039332719451
0.5312077369186166,0.0,0.6694612937233725,0.5037981241007097,0.5222924313777813,0.6411350555183678,0.5679449418174998,0.6472829035302538,0.6369675678919933,0.6506685799149757,0.6124490260965074,0.5494353289453351,0.5408058734706573,0.5678640510908246,0.5252503427547058,0.5814581964847227,0.6478282583969172,0.5965042592320111,0.5722875893358794,0.625816180072367
0.6289497435319977,0.6694612937233725,0.0,0.6052504933576153,0.6284760121139312,0.5538580083406197,0.6286468953088785,0.5136535183692116,0.568778851704378,0.4253102348690491,0.6671094858451111,0.6043678089077368,0.6313794250627291,0.6198177947581285,0.6080050388507824,0.6332411965408914,0.5938258658170713,0.5512221976370936,0.607121795500933,0.513801736603734
0.4687116494715229,0.5037981241007097,0.6052504933576153,0.0,0.4824385168440764,0.5358258198201208,0.509555848113205,0.5573444078939017,0.5076044493404422,0.5932470832178371,0.4911906468556232,0.479712185175837,0.5348178350125443,0.45688149535038464,0.47546394842076334,0.5377774382394295,0.5051354749800416,0.5561827897532635,0.47081023924697896,0.5553606905614495
0.5848003290639575,0.5222924313777813,0.6284760121139312,0.4824385168440764,0.0,0.5858462069064597,0.5532569758052535,0.6337170910647831,0.6060781455733157,0.6156947049779578,0.5444238387884364,0.5304315496417106,0.5663959701943474,0.4654656714627249,0.5291225833188606,0.5529767262647373,0.5949722469004319,0.6106177190992305,0.5033854651896629,0.6205568852273265
0.5746558097771897,0.6411350555183678,0.5538580083406197,0.5358258198201208,0.5858462069064597,0.0,0.6170271457843621,0.5307126930615449,0.49023375081939174,0.5530039452196456,0.5774164305752042,0.5734180455673731,0.6124709424721339,0.5802280618307378,0.5453417582067763,0.6139219606893455,0.526055272965756,0.5915678239110601,0.5809677025695653,0.5632841144365698
0.5602709119784041,0.5679449418174998,0.6286468953088785,0.509555848113205,0.5532569758052535,0.6170271457843621,0.0,0.6194680004862988,0.6017365298412604,0.6097671250301621,0.6093660714798657,0.5001853773209723,0.5420808641267625,0.5466657845576622,0.49711927405861867,0.5656770906020294,0.5913752213157961,0.5825759282760034,0.4571790284502293,0.5809866055734592
0.5807301519129492,0.6472829035302538,0.5136535183692116,0.5573444078939017,0.6337170910647831,0.5307126930615449,0.6194680004862988,0.0,0.49664146340748644,0.4606461067700059,0.6234954136099609,0.5706227190264547,0.6292757176654994,0.5869169576953335,0.5575555746642409,0.6056306587264256,0.505051819457661,0.5083629342256002,0.5848627516509506,0.4450543027429067
0.5737533173558725,0.6369675678919933,0.568778851704378,0.5076044493404422,0.6060781455733157,0.49023375081939174,0.6017365298412604,0.49664146340748644,0.0,0.5149514935912212,0.5912502453415747,0.5651989601212667,0.6205705351391783,0.5717869579012407,0.5405700856848523,0.5808880951664562,0.4500590497931962,0.5509368850507382,0.562561267976737,0.5431415474677446
0.6076398208691397,0.6506685799149757,0.4253102348690491,0.5932470832178371,0.6156947049779578,0.5530039452196456,0.6097671250301621,0.4606461067700059,0.5149514935912212,0.0,0.6514169751300687,0.5638514695404483,0.619137759016096,0.5883275425977601,0.5736295810578974,0.5990874770455317,0.5913201555612668,0.5028801240511365,0.5517813272861171,0.49519580666366997
0.5871737899301845,0.6124490260965074,0.6671094858451111,0.4911906468556232,0.5444238387884364,0.5774164305752042,0.6093660714798657,0.6234954136099609,0.5912502453415747,0.6514169751300687,0.0,0.576348875049695,0.6165482231673598,0.5800738281616389,0.529446230071765,0.6158589443518399,0.611770191089995,0.6412340774714805,0.5753473667488808,0.6176002303922301
0.478201203433241,0.5494353289453351,0.6043678089077368,0.479712185175837,0.5304315496417106,0.5734180455673731,0.5001853773209723,0.5706227190264547,0.5651989601212667,0.5638514695404483,0.576348875049695,0.0,0.5561740806517563,0.5121966314897654,0.47262143032365883,0.5184702052542985,0.5897450353289501,0.538178181205101,0.40521007479327614,0.563247400590441
0.5815357538645063,0.5408058734706573,0.6313794250627291,0.5348178350125443,0.5663959701943474,0.6124709424721339,0.5420808641267625,0.6292757176654994,0.6205705351391783,0.619137759016096,0.6165482231673598,0.5561740806517563,0.0,0.55309135547672,0.5310123655210744,0.5563234866312753,0.622716574847207,0.6013787467822248,0.5632675311710732,0.6162263360013973
0.5494026757851054,0.5678640510908246,0.6198177947581285,0.45688149535038464,0.4654656714627249,0.5802280618307378,0.5466657845576622,0.5869169576953335,0.5717869579012407,0.5883275425977601,0.5800738281616389,0.5121966314897654,0.55309135547672,0.0,0.4872325764061838,0.5027420882601193,0.5699123189863256,0.5941019396621182,0.49380036104997566,0.6187603170038041
0.4986690832265127,0.5252503427547058,0.6080050388507824,0.47546394842076334,0.5291225833188606,0.5453417582067763,0.49711927405861867,0.5575555746642409,0.5405700856848523,0.5736295810578974,0.529446230071765,0.47262143032365883,0.5310123655210744,0.4872325764061838,0.0,0.47946303869856777,0.5528574374042907,0.582000366906815,0.4722862154576654,0.5755086387800473
0.5699154006261179,0.5814581964847227,0.6332411965408914,0.5377774382394295,0.5529767262647373,0.6139219606893455,0.5656770906020294,0.6056306587264256,0.5808880951664562,0.5990874770455317,0.6158589443518399,0.5184702052542985,0.5563234866312753,0.5027420882601193,0.47946303869856777,0.0,0.6138598577065648,0.580788675774204,0.5247776432923618,0.614394363789481
0.5839019768649487,0.6478282583969172,0.5938258658170713,0.5051354749800416,0.5949722469004319,0.526055272965756,0.5913752213157961,0.505051819457661,0.4500590497931962,0.5913201555612668,0.611770191089995,0.5897450353289501,0.622716574847207,0.5699123189863256,0.5528574374042907,0.6138598577065648,0.0,0.578078907720299,0.5585865462630619,0.5120127628124157
0.5913811812097615,0.5965042592320111,0.5512221976370936,0.5561827897532635,0.6106177190992305,0.5915678239110601,0.5825759282760034,0.5083629342256002,0.5509368850507382,0.5028801240511365,0.6412340774714805,0.538178181205101,0.6013787467822248,0.5941019396621182,0.582000366906815,0.580788675774204,0.578078907720299,0.0,0.5216167695780525,0.4615350896039498
0.5328762643329974,0.5722875893358794,0.607121795500933,0.47081023924697896,0.5033854651896629,0.5809677025695653,0.4571790284502293,0.5848627516509506,0.562561267976737,0.5517813272861171,0.5753473667488808,0.40521007479327614,0.5632675311710732,0.49380036104997566,0.4722862154576654,0.5247776432923618,0.5585865462630619,0.5216167695780525,0.0,0.5659753477842246
0.5736039332719451,0.625816180072367,0.513801736603734,0.5553606905614495,0.6205568852273265,0.5632841144365698,0.5809866055734592,0.4450543027429067,0.5431415474677446,0.49519580666366997,0.6176002303922301,0.563247400590441,0.6162263360013973,0.6187603170038041,0.5755086387800473,0.614394363789481,0.5120127628124157,0.4615350896039498,0.5659753477842246,0.0
