,cat,dog,horse,pig,cow,camel,tiger,lion,goat,sheep,mouse,rat,wolf,giraffe,zebra,donkey,rabbit,fox,gorilla,chimpanzee
cat,0.0,0.8438381552696228,0.9738740921020508,2.4314522743225098,0.9681660532951355,1.9266538619995117,2.301806688308716,2.690452814102173,2.8489487171173096,2.613259792327881,0.9647660255432129,1.0718408823013306,1.090038776397705,4.043102741241455,2.400326728820801,2.3207762241363525,2.5806164741516113,1.0707612037658691,2.4494869709014893,4.558686256408691
dog,0.8438381552696228,0.0,0.5506957173347473,2.385756015777588,0.5905588269233704,1.9247329235076904,2.2533717155456543,2.6953957080841064,2.931098222732544,2.571115255355835,0.6290639042854309,0.6533235311508179,0.6332269310951233,4.050323486328125,2.3586695194244385,2.2998130321502686,2.5779969692230225,0.9782004952430725,2.433633327484131,4.60127067565918
horse,0.9738740921020508,0.5506957173347473,0.0,2.401890754699707,0.5991275906562805,1.9212146997451782,2.2562966346740723,2.7188522815704346,2.913343906402588,2.521244525909424,0.6538031697273254,0.699541449546814,0.6211979389190674,4.054585933685303,2.364377975463867,2.3163692951202393,2.5366921424865723,1.0020071268081665,2.409752130508423,4.54418420791626
pig,2.4314522743225098,2.385756015777588,2.401890754699707,0.0,2.4562160968780518,1.855968713760376,1.8972914218902588,2.3482866287231445,2.2986319065093994,1.9330976009368896,2.398030996322632,2.596195697784424,2.5726001262664795,3.054389715194702,2.0343098640441895,2.040182113647461,1.879744291305542,2.257486581802368,2.423671007156372,3.5735180377960205
cow,0.9681660532951355,0.5905588269233704,0.5991275906562805,2.4562160968780518,0.0,1.921730399131775,2.2650907039642334,2.7025723457336426,2.9398438930511475,2.572910785675049,0.6789052486419678,0.6209726929664612,0.6117120981216431,4.046247959136963,2.364339828491211,2.334261178970337,2.6078109741210938,1.0500266551971436,2.3905045986175537,4.590432167053223
camel,1.9266538619995117,1.9247329235076904,1.9212146997451782,1.855968713760376,1.921730399131775,0.0,1.9634984731674194,2.3442070484161377,2.5127766132354736,2.0885560512542725,1.872726559638977,2.0836873054504395,2.068286895751953,3.386758804321289,1.7996257543563843,1.8818799257278442,2.067096471786499,1.8155434131622314,2.181532382965088,3.957000732421875
tiger,2.301806688308716,2.2533717155456543,2.2562966346740723,1.8972914218902588,2.2650907039642334,1.9634984731674194,0.0,2.3501944541931152,2.41097092628479,2.2343125343322754,2.240466594696045,2.4002668857574463,2.376964807510376,3.251354932785034,1.9822617769241333,2.0692484378814697,1.9904066324234009,2.1135568618774414,2.4695522785186768,3.8968961238861084
lion,2.690452814102173,2.6953957080841064,2.7188522815704346,2.3482866287231445,2.7025723457336426,2.3442070484161377,2.3501944541931152,0.0,2.542194128036499,2.4811837673187256,2.7192318439483643,2.8556699752807617,2.835258960723877,3.322957754135132,2.319788694381714,2.469106674194336,2.5112433433532715,2.607668161392212,2.4983644485473633,3.8429548740386963
goat,2.8489487171173096,2.931098222732544,2.913343906402588,2.2986319065093994,2.9398438930511475,2.5127766132354736,2.41097092628479,2.542194128036499,0.0,2.1210739612579346,2.9119293689727783,3.0917019844055176,3.088017463684082,3.1648154258728027,2.4778928756713867,2.4072821140289307,2.3301432132720947,2.7818338871002197,2.503056049346924,3.651442527770996
sheep,2.613259792327881,2.571115255355835,2.521244525909424,1.9330976009368896,2.572910785675049,2.0885560512542725,2.2343125343322754,2.4811837673187256,2.1210739612579346,0.0,2.523811101913452,2.743884325027466,2.693589210510254,3.0283117294311523,2.0224084854125977,2.2343389987945557,2.2456395626068115,2.370399236679077,2.3472540378570557,3.4942314624786377
mouse,0.9647660255432129,0.6290639042854309,0.6538031697273254,2.398030996322632,0.6789052486419678,1.872726559638977,2.240466594696045,2.7192318439483643,2.9119293689727783,2.523811101913452,0.0,0.7970631122589111,0.7326485514640808,4.029979228973389,2.2995095252990723,2.287088394165039,2.5035674571990967,0.9539180994033813,2.4014954566955566,4.57034158706665
rat,1.0718408823013306,0.6533235311508179,0.699541449546814,2.596195697784424,0.6209726929664612,2.0836873054504395,2.4002668857574463,2.8556699752807617,3.0917019844055176,2.743884325027466,0.7970631122589111,0.0,0.5343262553215027,4.187740802764893,2.4978089332580566,2.4909510612487793,2.717198610305786,1.2543776035308838,2.5734527111053467,4.731234550476074
wolf,1.090038776397705,0.6332269310951233,0.6211979389190674,2.5726001262664795,0.6117120981216431,2.068286895751953,2.376964807510376,2.835258960723877,3.088017463684082,2.693589210510254,0.7326485514640808,0.5343262553215027,0.0,4.185091018676758,2.4976799488067627,2.45086407661438,2.703665018081665,1.1459718942642212,2.6105566024780273,4.773375988006592
giraffe,4.043102741241455,4.050323486328125,4.054585933685303,3.054389715194702,4.046247959136963,3.386758804321289,3.251354932785034,3.322957754135132,3.1648154258728027,3.0283117294311523,4.029979228973389,4.187740802764893,4.185091018676758,0.0,3.125502109527588,3.440467119216919,3.110382318496704,3.8959364891052246,3.3423118591308594,3.2447855472564697
zebra,2.400326728820801,2.3586695194244385,2.364377975463867,2.0343098640441895,2.364339828491211,1.7996257543563843,1.9822617769241333,2.319788694381714,2.4778928756713867,2.0224084854125977,2.2995095252990723,2.4978089332580566,2.4976799488067627,3.125502109527588,0.0,2.2678301334381104,1.9326704740524292,2.207355260848999,2.3528552055358887,3.568126916885376
donkey,2.3207762241363525,2.2998130321502686,2.3163692951202393,2.040182113647461,2.334261178970337,1.8818799257278442,2.0692484378814697,2.469106674194336,2.4072821140289307,2.2343389987945557,2.287088394165039,2.4909510612487793,2.45086407661438,3.440467119216919,2.2678301334381104,0.0,2.3081767559051514,2.1070940494537354,2.369325637817383,3.7632386684417725
rabbit,2.5806164741516113,2.5779969692230225,2.5366921424865723,1.879744291305542,2.6078109741210938,2.067096471786499,1.9904066324234009,2.5112433433532715,2.3301432132720947,2.2456395626068115,2.5035674571990967,2.717198610305786,2.703665018081665,3.110382318496704,1.9326704740524292,2.3081767559051514,0.0,2.3342111110687256,2.593574285507202,3.624173641204834
fox,1.0707612037658691,0.9782004952430725,1.0020071268081665,2.257486581802368,1.0500266551971436,1.8155434131622314,2.1135568618774414,2.607668161392212,2.7818338871002197,2.370399236679077,0.9539180994033813,1.2543776035308838,1.1459718942642212,3.8959364891052246,2.207355260848999,2.1070940494537354,2.3342111110687256,0.0,2.402864694595337,4.424892902374268
gorilla,2.4494869709014893,2.433633327484131,2.409752130508423,2.423671007156372,2.3905045986175537,2.181532382965088,2.4695522785186768,2.4983644485473633,2.503056049346924,2.3472540378570557,2.4014954566955566,2.5734527111053467,2.6105566024780273,3.3423118591308594,2.3528552055358887,2.369325637817383,2.593574285507202,2.402864694595337,0.0,3.6629905700683594
chimpanzee,4.558686256408691,4.60127067565918,4.54418420791626,3.5735180377960205,4.590432167053223,3.957000732421875,3.8968961238861084,3.8429548740386963,3.651442527770996,3.4942314624786377,4.57034158706665,4.731234550476074,4.773375988006592,3.2447855472564697,3.568126916885376,3.7632386684417725,3.624173641204834,4.424892902374268,3.6629905700683594,0.0
